3,17
4,14
5,363
6,215
17,291
18,286
19,352
23,259
25,329
30,367
41,361
45,353
54,315
56,74
56,79
56,365
57,109
59,327
59,356
61,339
63,367
65,297
66,342
66,343
69,320
70,350
71,282
73,301
73,303
74,344
74,366
75,337
76,287
76,293
79,308
81,330
82,283
82,345
83,287
84,348
85,251
85,254
85,265
85,335
86,246
86,326
86,368
87,161
87,254
88,136
88,137
88,178
88,180
88,186
88,220
89,234
90,178
91,160
91,255
91,264
91,277
92,132
92,238
93,291
93,334
94,343
97,230
98,250
99,288
99,299
99,306
100,289
100,314
100,342
101,198
101,302
101,368
102,125
102,140
102,177
102,226
102,241
102,348
103,166
103,254
103,357
104,152
104,214
105,131
105,178
106,174
106,178
106,239
107,149
107,241
107,248
107,255
108,151
108,160
109,181
109,222
109,277
109,355
110,193
110,208
110,241
110,301
110,309
110,331
110,355
111,258
111,267
111,297
111,323
112,138
112,228
112,263
112,358
113,212
113,231
115,366
116,236
117,301
118,137
118,172
118,339
119,142
119,248
119,289
119,343
120,152
121,158
122,213
122,240
122,347
123,167
123,344
123,351
124,250
124,289
124,359
125,270
125,318
126,100
126,105
126,120
126,170
126,245
126,261
127,170
127,317
128,112
128,119
128,218
128,296
128,339
129,142
129,210
129,237
129,283
129,315
130,116
130,143
130,218
131,99
131,110
131,176
131,200
131,301
131,333
132,163
132,187
132,191
132,253
132,349
133,134
133,177
133,288
134,279
134,312
135,91
135,259
135,297
136,209
137,157
137,309
137,356
138,189
139,100
139,292
140,204
140,258
140,266
141,120
141,226
141,317
142,103
142,116
142,141
142,172
144,284
144,345
144,354
145,119
145,254
145,268
146,168
146,207
146,231
146,246
146,346
147,153
147,220
147,242
147,256
148,303
149,246
149,285
149,317
150,119
150,146
150,180
150,344
151,102
151,172
151,316
152,287
153,232
153,238
154,122
154,306
155,96
155,233
155,279
156,120
156,339
156,365
157,126
157,273
158,93
158,189
158,217
158,244
159,262
159,348
160,14
160,118
160,127
160,214
160,233
160,248
161,142
161,189
161,249
161,361
162,103
162,269
162,293
163,83
163,111
163,238
163,328
164,285
165,114
165,119
165,127
165,289
165,344
166,178
166,200
166,215
166,241
166,295
167,200
168,103
168,255
168,267
168,288
168,357
169,98
169,107
169,113
169,244
169,280
169,292
169,301
169,355
170,174
170,309
171,27
171,35
171,101
171,275
171,313
171,330
172,12
172,98
172,158
172,168
172,323
172,352
173,7
173,134
173,141
173,216
173,345
173,351
174,5
174,219
174,269
175,136
175,323
176,181
176,247
177,232
177,307
178,42
178,166
178,318
179,148
180,55
180,92
180,122
180,266
180,345
181,5
181,180
181,209
181,336
182,196
183,56
183,138
183,145
183,264
183,297
184,160
184,200
184,210
184,354
184,360
185,163
185,289
185,354
186,224
187,327
188,97
188,164
188,352
189,158
189,235
189,287
189,323
191,181
191,231
191,293
191,315
191,360
192,307
193,274
195,126
196,230
196,302
196,327
196,346
197,107
197,252
197,288
198,184
198,353
199,190
199,291
200,147
200,355
201,210
201,286
202,181
202,215
203,109
203,141
203,248
203,287
203,300
204,154
204,177
204,186
204,216
205,300
207,283
208,199
209,154
209,337
209,346
210,309
210,349
211,156
211,189
211,213
212,129
212,171
212,335
213,337
214,173
214,188
214,231
215,148
215,159
215,203
215,367
217,174
217,262
218,163
218,231
218,277
218,365
219,116
219,276
220,231
220,273
221,91
221,125
222,44
222,134
222,248
223,179
223,189
223,209
223,289
224,135
224,279
224,312
225,154
225,212
225,286
225,312
226,339
227,153
227,170
227,277
228,35
228,165
228,180
228,327
229,241
230,306
230,364
230,366
231,144
231,165
231,179
231,274
232,135
232,213
232,333
233,68
233,158
233,297
233,365
234,173
234,207
234,327
234,338
235,104
235,331
236,41
236,52
236,149
236,194
236,202
236,367
237,95
237,180
237,182
238,135
238,160
239,99
239,246
239,262
240,118
240,123
240,141
240,197
240,306
240,307
241,114
241,121
241,202
241,259
242,39
242,155
242,164
242,359
243,40
243,110
243,112
243,361
244,87
244,131
244,196
244,361
246,158
247,327
248,42
248,52
248,143
248,176
248,357
249,98
249,115
249,321
249,360
250,147
251,108
252,140
253,61
253,144
253,154
254,101
254,167
255,133
259,119
261,202
261,321
262,153
262,333
263,144
264,61
264,135
264,136
266,56
268,45
269,97
269,208
271,226
273,248
274,103
276,196
276,361
277,355
278,101
278,149
285,275
286,351
289,356
296,274
297,268
299,232
301,336
302,339
305,140
307,150
307,352
308,273
308,331
308,335
309,139
309,276
311,334
312,23
312,314
313,320
314,335
317,149
317,346
317,365
318,142
320,348
320,354
321,327
322,353
325,357
326,362
329,40
329,240
329,311
329,352
331,347
333,313
333,326
334,245
334,327
334,344
335,27
336,351
337,35
337,332
339,28
340,360
345,323
348,325
349,311
350,35
350,351
351,313
351,316
352,165
352,168
352,348
353,304
353,344
354,39
357,20
358,294
359,185
359,333
360,292
361,51
361,296
362,296
362,322
362,324
363,205
364,157
366,214
367,45
367,195
368,192
368,201
